[2025-10-27T10:56:14.535+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-27T10:56:14.567+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: gemini_data_generator.generate_and_verify_batch manual__2025-10-27T16:26:08+05:30 map_index=1 [queued]>
[2025-10-27T10:56:14.574+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: gemini_data_generator.generate_and_verify_batch manual__2025-10-27T16:26:08+05:30 map_index=1 [queued]>
[2025-10-27T10:56:14.575+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-10-27T10:56:14.585+0000] {taskinstance.py:2330} INFO - Executing <Mapped(_PythonDecoratedOperator): generate_and_verify_batch> on 2025-10-27 10:56:08+00:00
[2025-10-27T10:56:14.596+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61 DeprecationWarning: This process (pid=201) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-10-27T10:56:14.594+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'gemini_data_generator', 'generate_and_verify_batch', 'manual__2025-10-27T16:26:08+05:30', '--job-id', '4', '--raw', '--subdir', 'DAGS_FOLDER/gemini_data_generation_dag.py', '--cfg-path', '/tmp/tmprvjbd8ua', '--map-index', '1']
[2025-10-27T10:56:14.597+0000] {standard_task_runner.py:63} INFO - Started process 210 to run task
[2025-10-27T10:56:14.597+0000] {standard_task_runner.py:91} INFO - Job 4: Subtask generate_and_verify_batch
[2025-10-27T10:56:14.664+0000] {task_command.py:426} INFO - Running <TaskInstance: gemini_data_generator.generate_and_verify_batch manual__2025-10-27T16:26:08+05:30 map_index=1 [running]> on host d020d215bd21
[2025-10-27T10:56:14.750+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='gemini_data_generator' AIRFLOW_CTX_TASK_ID='generate_and_verify_batch' AIRFLOW_CTX_EXECUTION_DATE='2025-10-27T10:56:08+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-10-27T16:26:08+05:30'
[2025-10-27T10:56:14.751+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-10-27T11:01:29.203+0000] {logging_mixin.py:188} INFO - Error decoding JSON from Gemini response: Expecting ',' delimiter: line 209 column 36 (char 45689)
[2025-10-27T11:01:29.206+0000] {logging_mixin.py:188} INFO - Cleaned response text was: '[
{"transaction_id": "TRN0005001", "product_id": "P003", "product_name": "Product Gamma", "sale_date": "2022-09-06", "quantity": 7, "unit_price": 52.01, "total_price": 364.07, "customer_id": "CUST8963", "region": "South"},
{"transaction_id": "TRN0005002", "product_id": "P001", "product_name": "Product Alpha", "sale_date": "2023-01-20", "quantity": 5, "unit_price": 19.33, "total_price": 96.65, "customer_id": "CUST1684", "region": "Central"},
{"transaction_id": "TRN0005003", "product_id": "P002", "product_name": "Product Beta", "sale_date": "2022-02-17", "quantity": 1, "unit_price": 28.58, "total_price": 28.58, "customer_id": "CUST8086", "region": "Central"},
{"transaction_id": "TRN0005004", "product_id": "P003", "product_name": "Product Gamma", "sale_date": "2022-10-21", "quantity": 3, "unit_price": 47.92, "total_price": 143.76, "customer_id": "CUST4832", "region": "East"},
{"transaction_id": "TRN0005005", "product_id": "P001", "product_name": "Product Alpha", "sale_date": "2022-06-25", "quantity": 2, "unit_price": 20.32, "total_price": 40.64, "customer_id": "CUST1355", "region": "East"},
{"transaction_id": "TRN0005006", "product_id": "P001", "product_name": "Product Alpha", "sale_date": "2022-07-29", "quantity": 5, "unit_price": 19.95, "total_price": 99.75, "customer_id": "CUST5039", "region": "Central"},
{"transaction_id": "TRN0005007", "product_id": "P001", "product_name": "Product Alpha", "sale_date": "2023-09-17", "quantity": 5, "unit_price": 20.45, "total_price": 102.25, "customer_id": "CUST9589", "region": "North"},
{"transaction_id": "TRN0005008", "product_id": "P002", "product_name": "Product Beta", "sale_date": "2022-11-20", "quantity": 1, "unit_price": 30.63, "total_price": 30.63, "customer_id": "CUST7745", "region": "South"},
{"transaction_id": "TRN0005009", "product_id": "P003", "product_name": "Product Gamma", "sale_date": "2022-01-08", "quantity": 10, "unit_price": 50.84, "total_price": 508.40, "customer_id": "CUST6349", "region": "South"},
{"transaction_id": "TRN0005010", "product_id": "P001", "product_name": "Product Alpha", "sale_date": "2023-08-01", "quantity": 6, "unit_price": 20.91, "total_price": 125.46, "customer_id": "CUST5551", "region": "North"},
{"transaction_id": "TRN0005011", "product_id": "P003", "product_name": "Product Gamma", "sale_date": "2023-05-18", "quantity": 10, "unit_price": 50.91, "total_price": 509.10, "customer_id": "CUST9160", "region": "North"},
{"transaction_id": "TRN0005012", "product_id": "P002", "product_name": "Product Beta", "sale_date": "2023-11-09", "quantity": 9, "unit_price": 30.68, "total_price": 276.12, "customer_id": "CUST9902", "region": "North"},
{"transaction_id": "TRN0005013", "product_id": "P001", "product_name": "Product Alpha", "sale_date": "2023-09-15", "quantity": 10, "unit_price": 20.89, "total_price": 208.90, "customer_id": "CUST4121", "region": "West"},
{"transaction_id": "TRN0005014", "product_id": "P001", "product_name": "Product Alpha", "sale_date": "2023-11-01", "quantity": 8, "unit_price": 19.33, "total_price": 154.64, "customer_id": "CUST1061", "region": "East"},
{"transaction_id": "TRN0005015", "product_id": "P002", "product_name": "Product Beta", "sale_date": "2022-04-18", "quantity": 9, "unit_price": 30.13, "total_price": 271.17, "customer_id": "CUST2576", "region": "North"},
